time,paw,flow,vol,pmus
83.28,9.56123046753985,-0.386938624718881,0.158606604840972,-0.03226976
83.29,9.56587424450426,-0.372504507262198,0.154757211456817,-0.03003177
83.3,9.59439233321448,-0.368534169801276,0.150994621672849,-0.02784042
83.31,9.57894636429603,-0.3526647018986,0.147317271110036,-0.02570083
83.32,9.53806107038533,-0.346342152224654,0.143723609914999,-0.02361799
83.33,9.42163001928963,-0.334742572166466,0.140212102229515,-0.02159676
83.34,9.4095982210712,-0.327013947895221,0.136781231191375,-0.01964187
83.35,9.43573026439278,-0.324334702020507,0.133429499993676,-0.01775789
83.36,9.40731610578987,-0.321929939199372,0.130155423030377,-0.01594921
83.37,9.36646139511662,-0.319641314042508,0.126957535153579,-0.01422005
83.38,9.35968089597027,-0.321251234133299,0.123834388766475,-0.01257446
83.39,9.36199646822708,-0.314047004218803,0.120784557532555,-0.01101628
83.4,9.38792767459876,-0.3062007110774,0.117806629473248,-0.00954915
83.41,9.34998982752105,-0.291695196726064,0.114899209353604,-0.00817649
83.42,9.28077279456251,-0.281972670737893,0.112060919134593,-0.00690152
83.43,9.28445235785646,-0.278285887891767,0.109290395349541,-0.0057272
83.44,9.19684889405627,-0.266054348808707,0.106586330911793,-0.00465628
83.45,9.16044413513058,-0.258172320105215,0.103947383471108,-0.00369127
83.46,9.13151357250176,-0.249227014518911,0.101372246104756,-0.00283441
83.47,9.11725839954635,-0.244936685940164,0.0988596430162859,-0.00208771
83.48,9.08852139853517,-0.250975217245311,0.096408307055658,-0.00145291
83.49,9.11734420532802,-0.242722200078503,0.0940169998386117,-0.00093149
83.5,9.05546997628902,-0.22884898967136,0.0916844901595944,-0.00052468
83.51,9.13793402480544,-0.224565254562953,0.0894095691281326,-0.00023342
83.52,9.16662454799179,-0.221510634024352,0.0871909926648227,-0
83.53,9.16416871908631,-0.220220693449695,0.0850276497351901,-0
83.54,9.19307748616416,-0.218987997289631,0.0829186596090888,-0.00039426
83.55,9.19124456743677,-0.215737950682576,0.0808634775513868,-0.00157084
83.56,9.21126126918491,-0.209092724077074,0.078861605042827,-0.00351118
83.57,9.2264128138421,-0.207606805816981,0.0769124840971791,-0.00618467
83.58,9.12202085945842,-0.205995146759884,0.0750156056531888,-0.00954915
83.59,9.13589782446672,-0.195171965772027,0.0731705249442277,-0.01355157
83.6,9.12897434587382,-0.183216955241283,0.0713768233212634,-0.0181288
83.61,9.0772323054556,-0.175971576091195,0.0696340322653746,-0.02320866
83.62,9.08626645524436,-0.15547507343165,0.0679416712033537,-0.02871104
83.63,9.05347358307442,-0.160886347761137,0.0662991407441896,-0.03454915
83.64,9.04379171593765,-0.153894698835282,0.0647057445096764,-0.04063093
83.65,9.08065891250361,-0.147126126954005,0.0631606460894453,-0.04686047
83.66,9.03517296269498,-0.153900250305806,0.0616629201936523,-0.05313953
83.67,9.03071111738298,-0.149755544066849,0.0602115152339431,-0.05936907
83.68,9.01750310208684,-0.146186684807587,0.0588052623587653,-0.06545085
83.69,9.03737896863104,-0.148473658449333,0.0574428772713043,-0.07128896
83.7,8.99588085423879,-0.143676824949211,0.0561229739028008,-0.07679134
83.71,8.95492442748043,-0.151380099995063,0.0548440252426071,-0.0818712
83.72,8.9402990238024,-0.14328504542845,0.0536044481412702,-0.08644843
83.73,8.8883806987069,-0.131931990093626,0.0524025362456714,-0.09045085
