sample_id,time,anomaly,anomaly_type,data_mode,description,volume,flow,paw,source_file,X,Y_flow,Y_paw
Double Trigger,1.8573666103538145,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,58.8898806015392,double_trigger_img2.csv,,,
Double Trigger,1.8773382943361128,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,58.86529361243494,double_trigger_img2.csv,,,
Double Trigger,1.8973099783184129,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,58.84070662333068,double_trigger_img2.csv,,,
Double Trigger,1.917281662300712,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,58.8170458564187,double_trigger_img2.csv,,,
Double Trigger,1.9372533462830104,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,58.79553224095248,double_trigger_img2.csv,,,
Double Trigger,1.9572250302653096,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,58.77401862548625,double_trigger_img2.csv,,,
Double Trigger,1.9771967142476088,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,58.75250501002002,double_trigger_img2.csv,,,
Double Trigger,1.997168398229908,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,58.7309913945538,double_trigger_img2.csv,,,
Double Trigger,2.017140082212207,1,Double Trigger,flow,Double Trigger,,-3.922277327764743,58.70947777908757,double_trigger_img2.csv,,,
Double Trigger,2.037111766194506,1,Double Trigger,flow,Double Trigger,,-3.645673700341841,58.68796416362135,double_trigger_img2.csv,,,
Double Trigger,2.057083450176805,1,Double Trigger,flow,Double Trigger,,-3.3690700729189325,58.66645054815512,double_trigger_img2.csv,,,
Double Trigger,2.0770551341591044,1,Double Trigger,flow,Double Trigger,,-3.092466445496024,58.64493693268889,double_trigger_img2.csv,,,
Double Trigger,2.097026818141403,1,Double Trigger,flow,Double Trigger,,-2.8158628180731213,58.62342331722267,double_trigger_img2.csv,,,
Double Trigger,2.1169985021237023,1,Double Trigger,flow,Double Trigger,,-2.5392591906502133,58.60190970175644,double_trigger_img2.csv,,,
Double Trigger,2.136970186106001,1,Double Trigger,flow,Double Trigger,,-2.2626555632273044,58.58039608629021,double_trigger_img2.csv,,,
Double Trigger,2.1569418700883007,1,Double Trigger,flow,Double Trigger,,-1.986051935804396,58.55888247082399,double_trigger_img2.csv,,,
Double Trigger,2.1769135540705995,1,Double Trigger,flow,Double Trigger,,-1.7094483083814942,58.53736885535776,double_trigger_img2.csv,,,
Double Trigger,2.1968852380528987,1,Double Trigger,flow,Double Trigger,,-1.4328446809585855,58.55652481433454,double_trigger_img2.csv,,,
Double Trigger,2.216856922035198,1,Double Trigger,flow,Double Trigger,,-1.1562410535356773,58.599552045267,double_trigger_img2.csv,,,
Double Trigger,2.2368286060174967,1,Double Trigger,flow,Double Trigger,,-0.8796374261127746,58.64257927619945,double_trigger_img2.csv,,,
Double Trigger,2.256800289999796,1,Double Trigger,flow,Double Trigger,,-0.610375162088929,58.6856065071319,double_trigger_img2.csv,,,
Double Trigger,2.276771973982095,1,Double Trigger,flow,Double Trigger,,-0.3683469880938781,58.72863373806435,double_trigger_img2.csv,,,
Double Trigger,2.2967436579643943,1,Double Trigger,flow,Double Trigger,,-0.1263188140988274,58.771660968996805,double_trigger_img2.csv,,,
Double Trigger,2.316715341946693,1,Double Trigger,flow,Double Trigger,,0.115709359896218,58.81468819992926,double_trigger_img2.csv,,,
Double Trigger,2.336687025928992,1,Double Trigger,flow,Double Trigger,,0.3577375338912687,58.85771543086172,double_trigger_img2.csv,,,
Double Trigger,2.3566587099112914,1,Double Trigger,flow,Double Trigger,,0.5997657078863197,58.90074266179417,double_trigger_img2.csv,,,
Double Trigger,2.3766303938935907,1,Double Trigger,flow,Double Trigger,,0.8417938818813704,58.94376989272662,double_trigger_img2.csv,,,
Double Trigger,2.3966020778758894,1,Double Trigger,flow,Double Trigger,,1.0838220558764158,58.98679712365907,double_trigger_img2.csv,,,
Double Trigger,2.4165737618581886,1,Double Trigger,flow,Double Trigger,,1.3258502298714665,59.029824354591526,double_trigger_img2.csv,,,
Double Trigger,2.436545445840488,1,Double Trigger,flow,Double Trigger,,1.5678784038665174,59.07285158552399,double_trigger_img2.csv,,,
Double Trigger,2.4565171298227866,1,Double Trigger,flow,Double Trigger,,1.8099065778615628,59.11587881645644,double_trigger_img2.csv,,,
Double Trigger,2.476488813805086,1,Double Trigger,flow,Double Trigger,,2.0519347518566136,59.984085818696215,double_trigger_img2.csv,,,
Double Trigger,2.496460497787385,1,Double Trigger,flow,Double Trigger,,2.2939629258516643,60.887657668277726,double_trigger_img2.csv,,,
Double Trigger,2.516432181769684,1,Double Trigger,flow,Double Trigger,,2.535991099846715,61.79122951785924,double_trigger_img2.csv,,,
Double Trigger,2.536403865751983,1,Double Trigger,flow,Double Trigger,,3.2756689850287763,62.69480136744074,double_trigger_img2.csv,,,
Double Trigger,2.556375549734282,1,Double Trigger,flow,Double Trigger,,4.43740422020505,63.59837321702226,double_trigger_img2.csv,,,
Double Trigger,2.5763472337165814,1,Double Trigger,flow,Double Trigger,,5.599139455381323,64.50194506660378,double_trigger_img2.csv,,,
Double Trigger,2.59631891769888,1,Double Trigger,flow,Double Trigger,,6.760874690557571,65.0819285630084,double_trigger_img2.csv,,,
Double Trigger,2.61629060168118,1,Double Trigger,flow,Double Trigger,,7.922609925733845,63.360839325710224,double_trigger_img2.csv,,,
Double Trigger,2.6362622856634785,1,Double Trigger,flow,Double Trigger,,10.528557114228455,69.59515669995453,double_trigger_img2.csv,,,
Double Trigger,2.6562339696457777,1,Double Trigger,flow,Double Trigger,,15.175498054933096,70.03772250383119,double_trigger_img2.csv,,,
Double Trigger,2.6762056536280765,1,Double Trigger,flow,Double Trigger,,33.28848874219001,70.48028830770784,double_trigger_img2.csv,,,
Double Trigger,2.696177337610376,1,Double Trigger,flow,Double Trigger,,36.38644936932674,70.92285411158448,double_trigger_img2.csv,,,
Double Trigger,2.716149021592675,1,Double Trigger,flow,Double Trigger,,36.87945744430035,71.36541991546113,double_trigger_img2.csv,,,
Double Trigger,2.7361207055749737,1,Double Trigger,flow,Double Trigger,,37.36351379229043,71.80798571933778,double_trigger_img2.csv,,,
Double Trigger,2.756092389557273,1,Double Trigger,flow,Double Trigger,,37.84757014028053,72.25055152321444,double_trigger_img2.csv,,,
Double Trigger,2.776064073539572,1,Double Trigger,flow,Double Trigger,,38.33162648827063,72.69311732709109,double_trigger_img2.csv,,,
Double Trigger,2.796035757521872,1,Double Trigger,flow,Double Trigger,,38.81568283626072,73.13568313096775,double_trigger_img2.csv,,,
Double Trigger,2.81600744150417,1,Double Trigger,flow,Double Trigger,,39.29973918425081,73.57824893484438,double_trigger_img2.csv,,,
Double Trigger,2.835979125486469,1,Double Trigger,flow,Double Trigger,,39.76821289638096,74.02081473872104,double_trigger_img2.csv,,,
Double Trigger,2.8559508094687684,1,Double Trigger,flow,Double Trigger,,40.15545797477304,74.46338054259769,double_trigger_img2.csv,,,
Double Trigger,2.875922493451068,1,Double Trigger,flow,Double Trigger,,40.54270305316513,74.6903218201108,double_trigger_img2.csv,,,
Double Trigger,2.8958941774333664,1,Double Trigger,flow,Double Trigger,,40.9299481315572,74.65590003536484,double_trigger_img2.csv,,,
Double Trigger,2.9158658614156656,1,Double Trigger,flow,Double Trigger,,41.317193209949295,74.62147825061888,double_trigger_img2.csv,,,
Double Trigger,2.935837545397965,1,Double Trigger,flow,Double Trigger,,41.70443828834138,74.5870564658729,double_trigger_img2.csv,,,
Double Trigger,2.955809229380264,1,Double Trigger,flow,Double Trigger,,42.091683366733456,74.55263468112695,double_trigger_img2.csv,,,
Double Trigger,2.975780913362563,1,Double Trigger,flow,Double Trigger,,42.47892844512554,74.51821289638099,double_trigger_img2.csv,,,
Double Trigger,2.995752597344862,1,Double Trigger,flow,Double Trigger,,42.86617352351762,74.48379111163501,double_trigger_img2.csv,,,
Double Trigger,3.015724281327161,1,Double Trigger,flow,Double Trigger,,43.25341860190971,74.44936932688906,double_trigger_img2.csv,,,
Double Trigger,3.03569596530946,1,Double Trigger,flow,Double Trigger,,43.640663680301785,74.4149475421431,double_trigger_img2.csv,,,
